source,author,title,description,publishedAt,content,processed_content,category
"{'id': None, 'name': 'Criptonoticias.com'}",Derliz Machado,Blockchain Summit Latam 2024: el futuro de las criptomonedas ya está aquí,"La edición del 2024 de Blockchain Summit Latam se enfoca en impulsar la industria de las criptomonedas, Web3 y blockchain. 
Leer más",2024-07-03T16:51:38Z,"Hechos clave:
<ul><li>La octava edición del evento se realizará en Bogotá, Colombia, del 14 al 16 de agosto de 2024.
</li><li>Se espera la asistencia de 2 mil personas y más de 150 oradores
</li><… [+2857 chars]",hechos clave ul li octava edición evento realizará bogotá colombia 14 16 agosto 2024 li espera asistencia 2 mil personas 150 oradores chars,Entretenimiento
"{'id': None, 'name': 'Elperiodico.com'}",Patricia Castán,Así es el nuevo mercado gastronómico del Maremagnum de Barcelona: la oferta y sus protagonistas,La selección de algunos de los mejores establecimientos gastronómicos de Barcelona en las diferentes especialidades --de cocinas con estrella Michelin a 'fast food' de calidad-- que integran el nuevo Time Out Market Barcelona levanta el telón este viernes 5 d…,2024-07-03T13:26:30Z,La selección de algunos de los mejores establecimientos gastronómicos de Barcelona en las diferentes especialidades --de cocinas con estrella Michelin a 'fast food' de calidad-- que integran el nuevo… [+8717 chars],selección mejores establecimientos gastronómicos barcelona diferentes especialidades cocinas estrella michelin food calidad integran chars,Deportes
"{'id': 'la-nacion', 'name': 'La Nacion'}",BBC Mundo,"Copa América 2024: lo bueno, lo malo y lo feo qué deja el fin de la fase de grupos","Desde selecciones que sorprendieron con su juego, hasta polémicos fallos arbitrales y duros fracasos futbolísticos, el torneo continental entra en la etapa definitoria de cuartos de final",2024-07-03T05:19:13Z,"La fase de grupos de la Copa América 2024 llegó a su fin con un agradable sabor a Vinotinto. Y es que la selección de Venezuela fue la mayor sorpresa en la eliminatoria inicial, en la que Argentina y… [+6875 chars]",fase grupos copa américa 2024 llegó fin agradable sabor vinotinto selección venezuela mayor sorpresa eliminatoria inicial argentina chars,Deportes
"{'id': None, 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"Lo bueno, lo malo y lo feo que deja el fin de la fase de grupos de la Copa América 2024","La eliminatoria para los cuartos de final de la Copa América deja la gran sorpresa del paso perfecto de Venezuela, más el gran fútbol de Argentina, Uruguay y Colombia. Pero también fracasos notables.",2024-07-03T03:05:22Z,"Fuente de la imagen, Getty/EPA/Reuters
Article information<ul><li>Author, Redacción</li><li>Role, BBC News Mundo</li><li></li></ul>
La fase de grupos de la Copa América 2024 llegó a su fin con un a… [+8908 chars]",fuente imagen article information ul li author redacción li role bbc news mundo li fase grupos copa américa 2024 llegó fin chars,Deportes
"{'id': 'la-nacion', 'name': 'La Nacion'}",El Tiempo (Colombia),El listado de iPhones que no podrán actualizar a iOS 18,Apple reveló detalles de su nueva actualización e informó en qué celulares no estará disponible,2024-07-03T00:10:06Z,"En la conferencia anual de desarrolladores WWDC 2024,Apple presentó varias novedades de su próximo sistema operativo, iOS 18, la siguiente actualización para los iPhone que pretende cambiar la experi… [+1457 chars]",conferencia anual desarrolladores wwdc 2024 apple presentó varias novedades próximo sistema operativo ios 18 siguiente actualización iphone pretende cambiar chars,Tecnología
"{'id': None, 'name': 'Www.abc.es'}",(abc),Irene Pardo: «Me gusta que la gente sienta que Almagro es su festival y que venga a disfrutarlo»,"A pocas horas de que levante el telón la 47ª edición del Festival Internacional de Teatro Clásico de Almagro, su directora, Irene Pardo, nos habla del programa de este año, que arranca este viernes con la entrega del Corral de Comedias a uno de los grandes de…",2024-07-02T21:09:14Z,"A pocas horas de que levante el telón la 47ª edición del Festival Internacional de Teatro Clásico de Almagro, su directora, Irene Pardo, nos habla del programa de este año, que arranca este viernes c… [+9695 chars]",pocas horas levante telón 47ª edición festival internacional teatro clásico almagro directora irene pardo habla programa año arranca viernes chars,Entretenimiento
"{'id': None, 'name': 'Xataka.com.co'}",Jessica Vargas A.,Kia EV5: Kia lanza en Colombia un carro eléctrico fabricado con materiales reciclados,"El Kia EV5 es la más reciente innovación en movilidad sostenible de Kia. Este vehículo eléctrico es una muestra de la apuesta de la marca por diseños que combinan tecnología y diseño, a la vez que se mantienen amigables con el medioambiente.
<!-- BREAK 1 -->
…",2024-07-02T20:25:35Z,"El Kia EV5 es la más reciente innovación en movilidad sostenible de Kia. Este vehículo eléctrico es una muestra de la apuesta de la marca por diseños que combinan tecnología y diseño, a la vez que se… [+2450 chars]",kia ev5 reciente innovación movilidad sostenible kia vehículo eléctrico muestra apuesta marca diseños combinan tecnología diseño vez chars,Tecnología
"{'id': None, 'name': 'Xataka.com.co'}",Wilson Vega,"Opel Grandland 2024: seguridad, comodidad y mucha tecnología a bordo",La Opel Grandland 2024 se hace notar desde el comienzo. Basta un vistazo para apreciar en su diseño los ecos del ya icónico estilo ‘Vizor’ y puntadas de modernidad que van de la combinación de colores de carrocería y techo a la pantalla totalmente digital de …,2024-07-02T16:17:55Z,La Opel Grandland 2024 se hace notar desde el comienzo. Basta un vistazo para apreciar en su diseño los ecos del ya icónico estilo Vizor y puntadas de modernidad que van de la combinación de colores … [+3717 chars],opel grandland 2024 hace notar comienzo basta vistazo apreciar diseño ecos icónico estilo vizor puntadas modernidad van combinación colores chars,Deportes
"{'id': None, 'name': 'Www.df.cl'}",Marco Zecchetto,Startup Videsk cierra alianza con Nissan Perú y debuta con su tecnología de atención remota a clientes en el mercado automotor,"La firma chilena acaba de integrar inteligencia artificial a su plataforma, lo que permitirá a la automotora gestionar la atención telemática, realizar transcripciones automáticas de las videollamadas y hacer análisis de seguimiento de los usuarios.",2024-07-02T14:09:00Z,"Videsk, startup chilena enfocada en tecnología para la atención remota de clientes, cerró un acuerdo comercial con Nissan Perú, tras adjudicarse una licitación, para utilizar su solución que integra … [+2164 chars]",videsk startup chilena enfocada tecnología atención remota clientes cerró acuerdo comercial nissan perú tras adjudicarse licitación utilizar solución integra chars,Tecnología
"{'id': None, 'name': 'Www.df.cl'}",Marco Zecchetto,Startup Videsk cierra alianza con Nissan Perú y debuta con su tecnología de atención remota a clientes en el mercado automotor,"La firma chilena acaba de integrar inteligencia artificial a su plataforma, lo que permitirá a la automotora gestionar la atención telemática, realizar transcripciones automáticas de las videollamadas y hacer análisis de seguimiento de los usuarios.",2024-07-02T14:09:00Z,"Videsk, startup chilena enfocada en tecnología para la atención remota de clientes, cerró un acuerdo comercial con Nissan Perú, tras adjudicarse una licitación, para utilizar su solución que integra … [+2164 chars]",videsk startup chilena enfocada tecnología atención remota clientes cerró acuerdo comercial nissan perú tras adjudicarse licitación utilizar solución integra chars,Tecnología
"{'id': None, 'name': 'La Vanguardia'}",Pablo Hernando Illán,Puedes beber vino gracias a la extinción de los dinosaurios,"¿Qué tienen en común la extinción de los dinosaurios y el vino? No es el comienzo de un chiste malo, sino el de una fuerte hipótesis que plantea que la aniquilación de estas criaturas ""cerró"" los bosques, permitiendo la expansión de plantas trepadoras y enred…",2024-07-02T12:49:31Z,"El vino es una de las bebidas más populares en España
¿Qué tienen en común la extinción de los dinosaurios y el vino? No es el comienzo de un chiste malo, sino el de una fuerte hipótesis que plantea… [+2480 chars]",vino bebidas populares españa común extinción dinosaurios vino comienzo chiste malo sino fuerte hipótesis chars,Deportes
"{'id': None, 'name': 'Www.abc.es'}",(abc),Los Institutos Tecnológicos atraen 156 millones de euros a la Comunidad Valenciana,"La Red de Institutos Tecnológicos de la Comunitat Valenciana (REDIT) ha celebrado su Asamblea General en la que ha presentado los resultados de 2023. Durante ese ejercicio, los centros han trabajado con más de 14.100 empresas y han desarrollado 1.312 proyecto…",2024-07-02T09:58:44Z,"La Red de Institutos Tecnológicos de la Comunitat Valenciana (REDIT) ha celebrado su Asamblea General en la que ha presentado los resultados de 2023. Durante ese ejercicio, los centros han trabajado … [+7446 chars]",red institutos tecnológicos comunitat valenciana redit celebrado asamblea general presentado resultados ejercicio centros trabajado chars,Deportes
"{'id': None, 'name': 'Archdaily.cl'}",Maria-Cristina Florian,El Premio Mies Crown Hall Americas anuncia los proyectos emergentes y destacados del MCHAP 2024,"El Premio Mies Crown Hall Americas (MCHAP) en el Colegio de Arquitectura del Instituto de Tecnología de Illinois ha anunciado la lista corta de 53 proyectos destacados. El quinto ciclo de premios celebra obras construidas completadas en América del Norte, Cen…",2024-07-02T06:00:00Z,"Centro de Investigación Mar de Cortés - Tatiana Bilbao ESTUDIO. Imagen © Juan Manuel McGrath, Iwan Baan, Rodrigo Chapa
El Premio Mies Crown Hall Americas (MCHAP) en el Colegio de Arquitectura del In… [+8613 chars]",centro investigación mar cortés tatiana bilbao estudio imagen juan manuel mcgrath iwan baan rodrigo chapa premio mies crown hall americas mchap colegio arquitectura chars,Tecnología
"{'id': 'la-nacion', 'name': 'La Nacion'}",,"Uruguay, con puntaje ideal, y un histórico Panamá eliminaron a Estados Unidos de la Copa América","La Celeste, sin Bielsa en el campo, derrotó por 1 a 0 a los locales, que se despidieron del certamen; la victoria 3 a 1 de Panamá sobre Bolivia clasificó a los canaleros por primera vez a los cuartos de final",2024-07-02T04:06:11Z,"Tres partidos jugados, tres partidos ganados. Puntaje ideal, clasificación para los cuartos de final y a esperar el rival, que será un gigante como Brasil o una de las mejores selecciones que enseñó … [+6185 chars]",tres partidos jugados tres partidos ganados puntaje ideal clasificación cuartos final esperar rival gigante brasil mejores selecciones enseñó chars,Entretenimiento
"{'id': None, 'name': 'BeInCrypto'}",Eduardo Venegas,"Aproximadamente 3,1 millones de mexicanos poseen criptomonedas, según reporte","Sherlock Communications reveló que 2,5% de la población mexicana posee criptomonedas. Además, México ya ocupa el sitio 16 en adopción de criptomonedas en el mundo.
El post Aproximadamente 3,1 millones de mexicanos poseen criptomonedas, según reporte fue visto…",2024-07-01T21:51:17Z,"El último reporte de Sherlock Communications mostró que la adopción de criptomonedas continúa al alza en México, ya que hay más de 3,1 millones de holders, equivalente a 2,5% de la población. La cons… [+3580 chars]",último reporte sherlock communications mostró adopción criptomonedas continúa alza méxico millones holders equivalente población chars,Economía
"{'id': None, 'name': 'Enter.co'}",Digna Irene Urrea,Epson lanza línea de proyectores portátiles en Colombia ¿Proyector o televisor?,"La marca japonesa, Epson, reconocida por sus impresoras, lanzó una nueva línea de productos: se trata de la familia de proyectores...",2024-07-01T20:30:11Z,"La marca japonesa reconocida por sus impresoras, lanzó una nueva línea de productos: se trata de la familia de proyectores Epson EpiqVision portátiles, la cual se compone de tres modelos: el Ultracor… [+3408 chars]",marca japonesa reconocida impresoras lanzó nueva línea productos trata familia proyectores epson epiqvision portátiles compone tres modelos chars,Tecnología
"{'id': None, 'name': 'Xataka.com.co'}",Wilson Vega,Reseña Asus Zenbook Duo 2024: la felicidad es una doble pantalla y no lo sabíamos,"La Asus Zenbook Duo es una computadora portátil de 14 pulgadas con no una, sino dos pantallas.

 
 
 
 
 


Así, desprovista de contexto, esa descripción hace sonar la propuesta como un gimmick, un truco de mercadeo.

Luego de probar una de estas máquinas po…",2024-07-01T17:14:00Z,"La Asus Zenbook Duo es una computadora portátil de 14 pulgadas con no una, sino dos pantallas.
Así, desprovista de contexto, esa descripción hace sonar la propuesta como un gimmick,un truco de merca… [+4971 chars]",asus zenbook duo computadora portátil 14 pulgadas sino dos pantallas así desprovista contexto descripción hace sonar propuesta gimmick truco chars,Deportes
"{'id': 'la-nacion', 'name': 'La Nacion'}",,La función del celular que tenés que desactivar para evitar que te roben tus datos bancarios,"Las nuevas modalidades de robo de los hackers son cada vez más sofisticadas, pero con un sencillo truco podés proteger tus datos personales y bancarios",2024-07-01T12:28:39Z,"Los celulares se convirtieron en una herramienta indispensable, ya que los podés utilizar para comunicarte con sus seres queridos, jefes o compañeros de trabajo, sin contar las aplicaciones que puede… [+1995 chars]",celulares convirtieron herramienta indispensable podés utilizar comunicarte seres queridos jefes compañeros trabajo contar aplicaciones chars,Deportes
"{'id': 'la-nacion', 'name': 'La Nacion'}",Eugenia Iglesias,Estos son los autos chinos más baratos que van por todo en el mundo,"Mientras aumenta la tensión comercial con los fabricantes europeos, los del gigante asiático ganan notoriedad, en especial con la oferta de eléctricos; cuáles son los más vendidos y por qué",2024-07-01T10:35:29Z,Las marcas automotrices chinas avanzan en su plan de expansión internacional y tienen a Europa y su industria en alerta por el arribo de un nuevo portafolio de modelos que atraen a los consumidores p… [+8613 chars],marcas automotrices chinas avanzan plan expansión internacional europa industria alerta arribo nuevo portafolio modelos atraen consumidores chars,Tecnología
"{'id': None, 'name': 'Hipertextual'}",Hipertextual (Redacción),Star+ ahora es Disney+ en Latinoamérica: así puedes ahorrar para verlo todo (incluyendo el deporte),"Se acabó tener el contenido (y las suscripciones) separadas: ahora el genial contenido de Star+ se integra dentro de la oferta de Disney+ en Latinoamérica, lo que supone tener todo en un mismo lugar, al un precio unificado y, directamente, un ahorro directo p…",2024-07-01T07:10:46Z,"Se acabó tener el contenido (y las suscripciones) separadas: ahora el genial contenido de Star+ se integra dentro de la oferta de Disney+ en Latinoamérica, lo que supone tener todo en un mismo lugar,… [+3646 chars]",acabó tener contenido suscripciones separadas ahora genial contenido integra dentro oferta latinoamérica supone tener mismo lugar chars,Deportes
"{'id': None, 'name': 'Elperiodico.com'}",Redacción,Conoce cuál es la única institución educativa en la que puedes estudiar FP en cinco idiomas,"Estudiar un grado de FP o universitario desde cualquier lugar. UNIVERSAE se ha erigido como la única institución educativa que ofrece sus titulaciones de Formación Profesional y universidad en cinco idiomas, consolidándose así como referente global en educaci…",2024-07-01T04:30:00Z,Estudiar un grado de FP o universitario desde cualquier lugar. UNIVERSAE se ha erigido como la única institución educativa que ofrece sus titulaciones de Formación Profesional y universidad en cinco … [+5724 chars],estudiar grado fp universitario cualquier lugar universae erigido única institución educativa ofrece titulaciones formación profesional universidad cinco chars,Deportes
"{'id': None, 'name': 'Elespectador.com'}",Mar Candela,"El profe Jordi, la escuela y la neuro divergencia","Hoy comparto con ustedes una reflexión profunda sobre la educación en nuestro país. Durante meses, he seguido de cerca el trabajo del profesor Jordi, un agente transformador que ha dedicado su esfuerzo a la educación integral y de calidad. Su labor no solo se…",2024-06-30T20:02:31Z,Hoy comparto con ustedes una reflexión profunda sobre la educación en nuestro país. Este pregrabado es muy especial ya que hace varias semanas deseaba publicar pero la vida y sus cosas urgentes atras… [+5750 chars],hoy comparto ustedes reflexión profunda educación país pregrabado especial hace varias semanas deseaba publicar vida cosas urgentes chars,Deportes
"{'id': None, 'name': 'Hipertextual'}",Aglaia Berlutti,5 contenidos para adultos que no esperabas encontrar en Disney+,"Por cien años, Disney ha sido el lugar predilecto de los niños. No solo en la pantalla chica y pequeña. También en sus parques temáticos, eventos locales e incluso, la forma en que la franquicia se extendió en todo el mundo. Lo cierto es que la compañía se ha…",2024-06-30T16:00:00Z,"Por cien años, Disney ha sido el lugar predilecto de los niños. No solo en la pantalla chica y pequeña. También en sus parques temáticos, eventos locales e incluso, la forma en que la franquicia se e… [+6566 chars]",cien años disney sido lugar predilecto niños solo pantalla chica pequeña parques temáticos eventos locales incluso forma franquicia chars,Deportes
"{'id': None, 'name': 'BeInCrypto'}",Eduardo Venegas,"Resumen Latinoamérica: BlackRock lanza ETF de BTC en Chile, Bolivia revoca prohibición cripto y más","El completo Resumen Cripto de Latam de BeInCrypto destaca las noticias y tendencias más importantes de América Latina. El resumen de esta semana incluye historias sobre el lanzamiento de IBIT de BlackRock en Chile, la asociación de Nubank con Lightspark, la r…",2024-06-30T15:01:00Z,"El completo resumen cripto de Latam de BeInCrypto trae las noticias y tendencias más importantes de América Latina. Con reporteros en Brasil, México, Argentina y más, cubrimos las últimas actualizaci… [+12671 chars]",completo resumen cripto latam beincrypto trae noticias tendencias importantes américa latina reporteros brasil méxico argentina cubrimos últimas chars,Deportes
"{'id': None, 'name': 'Criptonoticias.com'}",Jesús Herrera,Nubank y otros bancos de Latinoamérica que han integrado servicios con bitcoin,"Desde Brasil, pasando por Colombia y Panamá, instituciones financieras tradicionales ofrecen servicios para criptomonedas.
Leer más",2024-06-30T04:06:00Z,"Hechos clave:
<ul><li>Mejorar la experiencia de los usuarios es una de las razones de los bancos.
</li><li>Hay bancos más avanzados que otros en sus servicios para criptomonedas.
</li></ul>
La in… [+10521 chars]",hechos clave ul li mejorar experiencia usuarios razones bancos li bancos avanzados servicios criptomonedas chars,Deportes
"{'id': 'la-nacion', 'name': 'La Nacion'}",Juan Carlos de Pablo,¿No sería lindo que hubiera de todo para todos?,¿No sería lindo que hubiera de todo para todos?,2024-06-30T03:04:00Z,"En un programa de televisión en el cual entrevistaron a familias muy pobres, le preguntaron a un chico qué era lo que más deseaba. No retuve el texto, pero la idea quedó grabada en mi mente. Palabra … [+6497 chars]",programa televisión entrevistaron familias pobres preguntaron chico deseaba retuve texto idea quedó grabada mente palabra chars,Entretenimiento
"{'id': None, 'name': 'Elespanol.com'}",Rafa Martí,"Los hermanos Comas, de abogados a 'reyes' del cannabis legal en España por querer curar el dolor crónico de un familiar","Álvaro y Luis dejaron todo para investigar el potencial médico del cannabis. Después de tres años han obtenido la licencia de la AEMPS para cultivar un producto de ""alta calidad"" con el que esperan facturar un millón en 2026.",2024-06-30T00:29:19Z,"Poco antes de la pandemia, un tío de Álvaro y Luis Comas (Barcelona, 1992 y 1994) tuvo un accidente en la montaña que le dejó una lesión medular con un dolor crónico. Ninguna intervención médica logr… [+12251 chars]",pandemia tío álvaro luis comas barcelona 1992 1994 accidente montaña dejó lesión medular dolor crónico ninguna intervención médica chars,Deportes
"{'id': None, 'name': 'Xataka.com.co'}",Wilson Vega,‘Inteligencia artificial: la revolución que cambiará todo’: la era de la IA desde los ojos de un veterano del periodismo tecnológico,"En el siempre cambiante paisaje del periodismo especializado en tecnología, Álvaro Montes lo ha hecho todo.

Este comunicador social y periodista, especializado en información de tecnología, economía y cultura digital, innovación y social media, fue durante 2…",2024-06-29T15:24:43Z,"En el siempre cambiante paisaje del periodismo especializado en tecnología, Álvaro Montes lo ha hecho todo.
Este comunicador social y periodista, especializado en información de tecnología, economía… [+2584 chars]",siempre cambiante paisaje periodismo especializado tecnología álvaro montes hecho comunicador social periodista especializado información tecnología chars,Tecnología
"{'id': None, 'name': 'Forbes.com.mx'}",Roberto Arteaga,"Latinoamérica, la tierra prometida del proptech","Forbes México.
 Latinoamérica, la tierra prometida del proptech

La región tiene el potencial de convertirse en laboratorio de startups proptech, para atender las diversas problemáticas y tendencias del sector de bienes raíces e inmobiliario. En el caso de Mé…",2024-06-29T15:12:00Z,"En 2013, Ruben Frattini comenzó a escuchar sobre temas relacionados a un nuevo segmento de negocios internacional: proptech. Al principio, las personas asociaban este termino con un medicamento o una… [+11394 chars]",2013 ruben frattini comenzó escuchar temas relacionados nuevo segmento negocios internacional proptech principio personas asociaban termino medicamento chars,Política
"{'id': None, 'name': 'Www.df.cl'}",María Jesús Doberti,"Suiza y Brasil, los referentes de la Bolsa de Santiago para avanzar en activos digitales","El holding nuam exchange – integrado por las bolsas de Chile, Colombia y Perú–,  se encuentra dando sus primeros pasos en esta tecnología con un blockchain propio llamado AUNA y el acceso al mercado cripto, pero aspira más alto y está mirando avances extranje…",2024-06-29T08:00:00Z,"A estas alturas, ninguna bolsa o institución financiera puede ser indiferente al potencial que desbloquea blockchain para el desarrollo de servicios tecnológicos, aseguró el gerente senior de ideació… [+5065 chars]",alturas ninguna bolsa institución financiera puede ser indiferente potencial desbloquea blockchain desarrollo servicios tecnológicos aseguró gerente senior chars,Economía
"{'id': None, 'name': 'Elperiodico.com'}",Jordi Bianciotto,Juanes: Quiero tener la capacidad de decir que no estoy desesperado por buscar el hit’ del verano,¿Vida cotidiana’ es su álbum más confesional y más serio? Seguir leyendo....,2024-06-29T05:00:05Z,"¿Vida cotidiana es su álbum más confesional y más serio? 
Va hacia un lado más oscuro de mi alma, por así decirlo, lo cual no significa que sea triste. Es un disco que habla de situaciones personale… [+5118 chars]",cotidiana álbum confesional serio va hacia lado oscuro alma así decirlo significa triste disco habla situaciones chars,Deportes
"{'id': None, 'name': 'Unah.edu.hn'}",,UNAH presenta avance del proyecto Marketing y TIC para Mipymes de LATAM”,UNAH presenta avance del proyecto Marketing y TIC para Mipymes de LATAM”unah.edu.hn,2024-06-29T04:03:45Z,"Periodista: Ricardo Andino
Las carreras de Mercadotecnia e Informática Administrativa, de la Universidad Nacional Autónoma de Honduras (UNAH), han presentado el avance del proyecto Marketing y TIC: … [+1508 chars]",periodista ricardo andino carreras mercadotecnia informática administrativa universidad nacional autónoma honduras unah presentado avance proyecto marketing tic chars,Tecnología
"{'id': None, 'name': 'Enter.co'}",Alejandra Betancourt,¿Cómo mantener tu hogar seguro durante tus vacaciones con ayuda de la tecnología?,"Muchos de los viajeros deben dejar sola su casa durante sus vacaciones, lo que genera preocupaciones por temas de seguridad.",2024-06-28T23:00:30Z,"De acuerdo con los pronósticos de Migración Colombia y el Ministerio de Relaciones Exteriores, en este 2024 viajarían aproximadamente 3 millones de colombianos entre junio y julio. Muchos de los viaj… [+2646 chars]",acuerdo pronósticos migración colombia ministerio relaciones exteriores 2024 viajarían aproximadamente 3 millones colombianos junio julio chars,Deportes
